Time,Acel X,Acel Y,Acel z,Gyro X,Gyro Y,Gyro Z
1661111701.643225,-1976,16156,72,-833,-110,-703
1661111701.75793,-2216,16100,300,-1247,-738,-1270
1661111701.868571,-1832,16060,1640,-1336,-1540,-1951
1661111701.975096,-2496,15860,996,-2194,306,-877
1661111702.085571,-2692,16064,1956,-2067,535,-1334
1661111702.19621,-2016,16220,2512,-4887,3542,4868
1661111702.306747,-2384,16004,2844,90,-259,-3268
1661111702.417698,-2596,16140,3168,-986,380,486
1661111702.528357,-2264,16096,3768,-741,124,9
1661111702.634317,-1672,16040,3816,-1959,996,1910
1661111702.74498,-1184,15956,4412,-1402,610,1405
1661111702.855675,-716,15968,4780,-1537,819,1858
1661111702.966147,-248,16044,5160,-1568,534,2183
1661111703.072631,-104,15888,5484,-655,-14,313
1661111703.183422,324,15940,5656,-960,629,1655
1661111703.293688,404,15812,5760,0,-92,-669
1661111703.40839,-48,15760,6000,926,-622,-3042
1661111703.519378,-1664,15880,5208,4605,-2254,-10296
1661111703.629747,-3812,15868,3904,4685,-1627,-7781
1661111703.744708,-5316,15492,3104,3438,-1321,-5218
1661111703.859398,-6592,14840,2552,4303,-1087,-4662
1661111703.973666,-7404,13664,1340,7141,-140,-4917
1661111704.084567,-8240,14252,588,4302,-1034,-4590
1661111704.195231,-8936,13692,256,630,-538,-587
1661111704.305577,-8480,13616,148,89,533,-452
1661111704.41613,-8852,13376,-212,137,361,-1104
1661111704.526641,-9188,13584,60,262,506,-664
1661111704.637206,-9312,13124,200,136,-113,-1080
1661111704.747881,-10296,13668,84,-103,54,-901
1661111704.85843,-11016,12580,1248,790,1026,1076
1661111704.969067,-9432,12396,48,48,-1477,-1866
1661111705.079639,-10612,13404,968,10934,-242,-6569
1661111705.190298,-11748,11304,-796,3099,-859,-2912
1661111705.300999,-12544,10536,-1832,2124,57,-2253
1661111705.411405,-11632,10032,-2140,1843,2440,-1003
1661111705.521918,-13556,8184,-2088,5330,5390,-3616
